id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
1444, transformers, 10, 8, False, 2, 0, 14.4, 30, 0, 0, 10000, 8.70345875195, 8835745, 0, 0, 9.86605620384, 72.8664081097
1445, transformers, 2, 2, False, 2, 0, 0, 5, 0, 0, 9000, 2.07968408267, 8580883, 2, 7.37870001793, 2.12033414841, 70.6206769943
1446, transformers, 2, 8, False, 2, 0, 1.2, 5, 0, 0, 8500, 2.20076628526, 8108785, 1, 5.41703605652, 9.21562504768, 74.6334941387
1447, transformers, 2, 2, False, 2, 0, 14.4, 30, 0, 0, 8000, 2.47725519339, 7266295, 5, 17.0257411003, 2.3836889267, 80.4219040871
1448, transformers, 10, 4, False, 2, 0, 0, 5, 0, 0, 10000, 8.02290218217, 9540045, 0, 0, 8.30014705658, 71.300495863
1449, transformers, 2, 2, False, 2, 0, 4.8, 30, 0, 0, 8500, 2.20095873674, 8108148, 3, 10.5197238922, 2.24368286133, 73.833507061
144, transformers, 2, 8, False, 2, 0, 0, 50, 0, 0, 9000, 2.07929302851, 8582257, 0, 0, 8.70623898506, 68.7068948746
1450, transformers, 10, 2, False, 2, 0, 4.8, 30, 0, 0, 10000, 8.02110467638, 9542093, 0, 0, 8.29937601089, 71.2997100353
1451, transformers, 6, 8, False, 2, 0, 19.2, 5, 0, 0, 8500, 44.5792257445, 861967, 4, 456.358172894, 107.759339094, 634.118229866
1452, transformers, 6, 16, False, 2, 0, 0.6, 30, 0, 0, 9000, 4.4555993591, 8588747, 0, 0, 17.6220881939, 87.6227221489
1453, transformers, 10, 16, False, 2, 0, 0.6, 30, 0, 0, 10000, 8.02383187839, 9537770, 0, 0, 15.8773310184, 78.8776798248
1454, transformers, 2, 2, False, 2, 0, 0.6, 30, 0, 0, 10000, 1.87222275734, 9531743, 1, 4.76866793633, 1.90892601013, 67.8867647648
1455, transformers, 2, 8, False, 2, 0, 19.2, 5, 0, 0, 8500, 20.0431781928, 917973, 6, 460.737128973, 80.5795609951, 600.945757151
1456, transformers, 6, 4, False, 2, 0, 1.2, 50, 0, 0, 8000, 5.01121580601, 7636169, 1, 7.18637418747, 4.66375803947, 81.8509938717
1457, transformers, 6, 4, False, 2, 0, 19.2, 5, 0, 0, 7000, 43.2602045195, 898620, 7, 496.552143574, 39.0991740227, 569.654904127
1458, transformers, 10, 8, False, 2, 0, 4.8, 50, 0, 0, 9500, 8.44123489516, 9066226, 0, 0, 8.72976899147, 71.7301199436
1459, transformers, 10, 4, False, 2, 0, 0.6, 50, 0, 0, 8500, 9.43298356874, 8113115, 0, 0, 9.75875997543, 72.759111166
145, transformers, 2, 16, False, 2, 0, 0, 30, 0, 0, 9000, 2.07921973864, 8583094, 0, 0, 17.159555912, 77.1601819992
1460, transformers, 2, 16, False, 2, 0, 19.2, 50, 0, 0, 10000, 2.10605685711, 8884972, 0, 0, 17.875177145, 77.8757991791
1461, transformers, 2, 8, False, 2, 0, 1.2, 50, 0, 0, 8500, 2.20118049781, 8107145, 1, 5.42447686195, 9.22155308723, 74.6466169357
1462, transformers, 6, 4, False, 2, 0, 9.6, 30, 0, 0, 15000, 2.67800108024, 14290174, 0, 0, 2.49282002449, 74.6667661667
1463, transformers, 2, 16, False, 2, 0, 14.4, 30, 0, 0, 15000, 1.41958751678, 12989670, 0, 0, 11.840307951, 73.3134510517
1464, transformers, 2, 16, False, 2, 0, 0.6, 5, 0, 0, 7000, 2.67187314034, 6679035, 0, 0, 22.0464198589, 82.04697299
