" ""mlbs""";" ""bandwidth""";" ""segment_length""";" ""number of stalls""";
 0.1; 0.466666666666667; 0.2; 14.8888888888889;
 0.1; 0.466666666666667; 0.6;7;
 0.1; 0.466666666666667;1; 3.33333333333333;
 0.1; 0.533333333333333; 0.2; 14.3333333333333;
 0.1; 0.533333333333333; 0.6;7;
 0.1; 0.533333333333333;1; 3.22222222222222;
 0.1; 0.566666666666667; 0.2; 14.4444444444444;
 0.1; 0.566666666666667; 0.6;7;
 0.1; 0.566666666666667;1; 3.11111111111111;
 0.1; 0.6; 0.2; 14.7777777777778;
 0.1; 0.6; 0.6;7;
 0.1; 0.6;1; 3.11111111111111;
 0.1; 0.633333333333333; 0.2; 14.6666666666667;
 0.1; 0.633333333333333; 0.6; 6.88888888888889;
 0.1; 0.633333333333333;1; 3.22222222222222;
 0.1; 0.666666666666667; 0.2; 14.4444444444444;
 0.1; 0.666666666666667; 0.6;7;
 0.1; 0.666666666666667;1; 3.11111111111111;
 0.1;1; 0.2; 14.4444444444444;
 0.1;1; 0.6; 6.88888888888889;
 0.1;1;1; 3.11111111111111;
 0.6; 0.466666666666667; 0.2; 5.11111111111111;
 0.6; 0.466666666666667; 0.6; 0.555555555555556;
 0.6; 0.466666666666667;1;1;
 0.6; 0.533333333333333; 0.2; 2.77777777777778;
 0.6; 0.533333333333333; 0.6; 0.333333333333333;
