id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
644, transformers, 2, 2, False, 2, 0, 0.3, 50, 0, 0, 10000, 1.87013228734, 9544606, 1, 4.74355912209, 1.9053800106, 67.8620550632
645, transformers, 10, 2, False, 2, 0, 0.3, 65, 0, 0, 8000, 2.33509350618, 7642805, 4, 12.8742060661, 2.37928295135, 76.2651410103
646, transformers, 6, 2, False, 2, 0, 9.6, 65, 0, 0, 8000, 2.33600296974, 7640140, 4, 12.7036440372, 2.38422298431, 76.101282835
647, transformers, 10, 4, False, 2, 0, 1.2, 5, 0, 0, 9000, 2.07705782255, 8593044, 1, 4.12942886353, 2.11861896515, 66.2486448288
648, transformers, 2, 8, False, 2, 0, 9.6, 50, 0, 0, 9000, 2.07663169702, 8593900, 1, 3.46731710434, 2.11933493614, 65.5871870518
649, transformers, 10, 4, False, 2, 0, 9.6, 50, 0, 0, 10000, 1.86972076098, 9545847, 1, 3.38473415375, 1.90610694885, 65.2914330959
650, transformers, 6, 12, False, 2, 0, 0.6, 65, 0, 0, 8000, 2.33566246033, 7640428, 3, 10.7199521065, 2.38021588326, 73.1007869244
651, transformers, 6, 4, False, 2, 0, 2.4, 5, 0, 0, 8000, 2.33628135522, 7638964, 3, 10.7410650253, 2.37840008736, 73.1200761795
652, transformers, 6, 12, False, 2, 0, 9.6, 65, 0, 0, 10000, 1.86987846692, 9544591, 0, 0, 1.90574097633, 61.9062879086
653, transformers, 10, 2, False, 2, 0, 19.2, 50, 0, 0, 7000, 2.81690998077, 6379443, 5, 24.6476550102, 2.72110509872, 88.2142882347
654, transformers, 10, 8, False, 2, 0, 1.2, 5, 0, 0, 8000, 2.33625512123, 7638466, 3, 10.7335364819, 2.3814239502, 73.116011858
655, transformers, 10, 2, False, 2, 0, 0, 50, 0, 0, 15000, 1.2488114357, 14292504, 0, 0, 1.27414894104, 62.7470748425
656, transformers, 2, 4, False, 2, 0, 0.6, 65, 0, 0, 10000, 1.87005739212, 9545002, 1, 3.39897203445, 1.90363287926, 65.3032670021
657, transformers, 2, 4, False, 2, 0, 2.4, 50, 0, 0, 7000, 2.66906661987, 6686087, 5, 20.249078989, 2.7141559124, 82.9642250538
